Contrast,Method,Lipid_Class,Sig.Level,Tentative_Lipid_ID,logFC,t,P.Value,adj.P.Val,B,Sig.Level,MetaboAnalysisDate,ExclusionVersion,AveExpr
MIX,1,PC,NA,"PC(42:7),PC(41:0),PC(O-42:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(42:8),PC(41:1),PC(O-42:1),PC(P-42:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(O-38:8),PC(36:1),PC(O-37:1),PC(P-37:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(O-38:9),PC(36:2),PC(O-37:2),PC(P-37:1)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PE,NA,"PE(20:0),LPE(21:0)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(31:0),PE(O-32:0)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(34:2),PE(O-35:2),PE(P-35:1)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(35:3),PE(O-36:3),PE(P-36:2)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(36:3),PE(P-37:2)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(36:4),PE(O-37:4)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,PE(36:5),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,PE(36:6),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(37:4),PE(O-38:4),PE(P-38:3)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(37:5),PE(O-38:5),PE(P-38:4)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(37:6),PE(O-38:6),PE(P-38:5)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,PE(38:3),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,PE(38:4),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,PE(38:5),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,PE(38:6),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(38:7),PE(37:0),PE(O-38:0)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(38:9),PE(dO-40:9),PE(37:2),PE(O-38:2),PE(P-38:1)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(39:4),PE(O-40:4),PE(P-40:3)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(39:5),PE(O-40:5),PE(P-40:4)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(39:6),PE(O-40:6),PE(P-40:5)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(39:7),PE(P-40:6),PE(38:0),PE(O-39:0)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(40:10),PE(39:3),PE(O-40:3),PE(P-40:2)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,PE(40:4),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,PE(40:5),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(40:6),PE(dO-40:0)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(40:7),PE(39:0),PE(O-40:0)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(40:8),PE(39:1),PE(O-40:1),PE(P-40:0)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(40:9),PE(39:2),PE(O-40:2),PE(P-40:1)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(42:9),PE(41:2),PE(O-42:2),PE(P-42:1)",NA,NA,NA,NA,NA,NA,12524,E2,NA
