Contrast,Lipid_Class,Tentative_Lipid_ID,logFoldC,AveExpr,t,P.Value,adjP,B,Sig.Level,MetaboAnalysisDate
PFOA,CARQ,CAR(22:2)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
PFOA,CAR,CAR(20:0),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,CARQ,CAR(20:0)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
PFOA,CAR,CAR(2:0),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,CARQ,CAR(2:0)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
PFOA,CAR,CAR(22:0),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,CARQ,CAR(22:0)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
PFOA,CAR,CAR(17:0),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,CARQ,CAR(17:0)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
PFOA,CAR,CAR(22:4),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,CARQ,CAR(22:4)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CAR,CAR,NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CARQ,CAR_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CAR,CAR(22:2),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CARQ,CAR(22:2)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CAR,CAR(20:0),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CARQ,CAR(20:0)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CAR,CAR(2:0),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CARQ,CAR(2:0)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CAR,CAR(22:0),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CARQ,CAR(22:0)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CAR,CAR(17:0),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CARQ,CAR(17:0)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CAR,CAR(22:4),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CARQ,CAR(22:4)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
MIX,CAR,CAR,NA,NA,NA,NA,NA,NA,NA,NA
MIX,CARQ,CAR_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
MIX,CAR,CAR(22:2),NA,NA,NA,NA,NA,NA,NA,NA
MIX,CARQ,CAR(22:2)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
MIX,CAR,CAR(20:0),NA,NA,NA,NA,NA,NA,NA,NA
MIX,CARQ,CAR(20:0)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
MIX,CAR,CAR(2:0),NA,NA,NA,NA,NA,NA,NA,NA
MIX,CARQ,CAR(2:0)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
MIX,CAR,CAR(22:0),NA,NA,NA,NA,NA,NA,NA,NA
MIX,CARQ,CAR(22:0)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
MIX,CAR,CAR(17:0),NA,NA,NA,NA,NA,NA,NA,NA
MIX,CARQ,CAR(17:0)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
MIX,CAR,CAR(22:4),NA,NA,NA,NA,NA,NA,NA,NA
MIX,CARQ,CAR(22:4)_QUAL,NA,NA,NA,NA,NA,NA,NA,NA
PFHxS,PI,PI(40:5),-0.905,2.64E-16,-3.3224,0.001023,0.012276,-0.97874,<0.05,110623
PFHxS,PI,"PI(34:2),PI(O-35:2),PI(P-35:1)",-0.765,8.36E-17,-3.0105,0.0028692,0.017215,-1.8895,<0.05,110623
PFHxS,PI,PI(34:5),-0.669,2.15E-16,-2.455,0.014755,0.059021,-3.3036,<0.1,110623
PFHxS,PI,"PI(34:3),PI(P-35:2)",-0.65,-4.14E-16,-2.3447,0.019809,0.059426,-3.5519,<0.1,110623
PFHxS,PI,PI(36:4),-0.509,-2.45E-16,-2.0385,0.042526,0.095162,-4.1837,<0.1,110623
PFHxS,PI,"PI(36:3),PI(P-37:2)",-0.512,4.17E-16,-1.9907,0.047581,0.095162,-4.2748,<0.1,110623
PFHxS,PI,PI(38:6),-0.513,1.03E-16,-1.8965,0.059021,0.098157,-4.4479,<0.1,110623
PFHxS,PI,PI(38:3),-0.498,-1.94E-16,-1.8502,0.065438,0.098157,-4.53,<0.1,110623
PFHxA,PI,PI(40:5),NA,NA,NA,NA,NA,NA,NA,NA
PFHxA,PI,"PI(34:2),PI(O-35:2),PI(P-35:1)",NA,NA,NA,NA,NA,NA,NA,NA
PFHxA,PI,PI(34:5),NA,NA,NA,NA,NA,NA,NA,NA
PFHxA,PI,"PI(34:3),PI(P-35:2)",NA,NA,NA,NA,NA,NA,NA,NA
PFHxA,PI,PI(36:4),NA,NA,NA,NA,NA,NA,NA,NA
PFHxA,PI,"PI(36:3),PI(P-37:2)",NA,NA,NA,NA,NA,NA,NA,NA
PFHxA,PI,PI(38:6),NA,NA,NA,NA,NA,NA,NA,NA
PFHxA,PI,PI(38:3),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,PI,PI(40:5),-0.726,2.64E-16,-2.6555,0.0084168,0.050501,-2.7219,<0.1,110623
PFOS,PI,"PI(34:2),PI(O-35:2),PI(P-35:1)",NA,NA,NA,NA,NA,NA,NA,NA
